TargetID	Gene_symbol
T53904	EGLN2
T58298	ENTPD1
T30727	CASP4
T13453	GALR2
T78581	GALR1
T73712	FABP1
T72702	F3
T15023	NRP1
T78892	ITGA4
T39123	KISS1R
T59479	BIRC3
T68026	VCAM1
T22658	CXCL8
T60330	P2RX4
T49526	KCNQ1
T50007	MSR1
T92403	SLC9A3
T65291	ALDH3A2
T77796	TRHR
T55689	LIPE
T86273	GPBAR1
T48330	SLC7A5
T78585	IL5
T23471	MPO
T28132	CACNA2D2
T36121	MYC
T14908	UGCG
T43115	PTPRC
T40800	ATP1A1
T29130	STAT3
T26774	NCOA3
T12817	HSPA8
T05904	PDE8A
T00176	MDM2
T17048	TOP2A
T23666	AHR
T44916	EED
T46781	AURKB
T89055	MAP2K2
T14945	CENPE
T16347	PTPN1
T88752	RAC1
T17967	PDK2
T47818	SLC6A14
T23348	VWF
T99989	CSNK1E
T00254	NR1D1
T17067	USP5
T68470	USP1
T73184	SETD7
T11309	CCL2
T02752	CCR3
T12108	CRY1
T18950	GNRH1
T58716	SMPD4
T75888	CPT1B
T11253	HSPB1
T23347	IL1R2
T10491	ACKR3
T17345	DHFR
T68668	MAN2A1
T99948	CD274
T02562	PTGES
T59631	PDCD1
T10482	F12
T10383	PLD2
T19368	LIPG
T08133	TRPV6
T55610	HIF1A
T61518	MELK
T20761	VEGFA
T55709	CHKA
T42000	IL1B
T77594	HSPA5
T98293	PAK4
T84133	PDE10A
T22956	CDK3
T46482	TLR7
T11451	TLR9
T48703	TLR8
T38950	CD33
T41560	EGFR
T46040	F11
T66903	FSCN1
T69563	IDH1
T79747	PORCN
T85544	MAPKAP1
T86803	STAT3
T88569	IDH1
T96623	HSP90AB1
T96892	MELK
T97008	MAT2A
T16769	XIAP
T20333	CSF1R
T23673	RAF1
T54582	NAMPT
T98397	TYMS
T49453	NOTCH4
T07394	NOTCH1
T83386	FOLR1
T01973	MST1R
T82795	CTNNB1
T88304	DNMT1
T38431	S100A9
T86364	VIPR1
T13251	IL12A
T35486	NRAS
T86350	ERBB3
T95302	MC5R
T06475	NCL
T97257	TGFB1
T55654	CFTR
T88505	NFE2L2
T74937	DBH
T92458	CYP24A1
T15377	ATP2A2
T00239	IL4
T97587	ITGA4
T38301	RRM2
T70518	CBR1
T37952	SYK
T41003	EPAS1
T27861	CRBN
T60708	C5
T97136	MKNK1
T99160	MKNK2
T21123	EPAS1
T91451	UBE2T
